G,element_length,p,f_int[0],f_int[1],f_ext[0],kte[00],kte[01],kte[11]
87467.6299109031,1,35.0,6.999999999999955e+02,-4.7475468957063896e+02,1400.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,35.0,4.747546895706424e+02,-2.4240259795473926e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,35.0,2.4240259795473608e+02,1.1744155280522296e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,52.5,1.4000000000000032e+03,-9.495093791412909e+02,2100.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,52.5,9.495093791412821e+02,-4.8480519590947364e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,52.5,4.848051959094773e+02,-2.621652775837956e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.100000000000001e+03,-1.4242640687119308e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.4242640687119213e+03,-7.272077938642072e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,7.272077938642157e+02,-2.7128301608459194e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999986e+03,-1.8990187582825715e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.899018758282563e+03,-9.696103918189451e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189497e+02,1.9818603049933646e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999995e+03,-1.8990187582825706e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189515e+02,1.690975739040325e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.899018758282577e+03,-9.696103918189594e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.69610391818952e+02,3.0551554032810617e-13,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825624e+03,-9.696103918189425e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999995e+03,-1.8990187582825706e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825713e+03,-9.696103918189527e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189513e+02,1.4334285313322827e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825624e+03,-9.696103918189425e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.7999999999999995e+03,-1.8990187582825706e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825702e+03,-9.696103918189509e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189559e+02,-4.019956315062712e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825713e+03,-9.696103918189527e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
87467.6299109031,3,70,9.696103918189513e+02,1.4334285313322827e-12,0.0,1964306.4148120384,-2313465.832227267,2816129.0266214474
87467.6299109031,1,70,2.800000000000002e+03,-1.8990187582825733e+03,2800.0,2557343.807461789,-2922121.5710305385,3409166.419271197
87467.6299109031,2,70,1.8990187582825624e+03,-9.696103918189425e+02,0.0,2209512.7833322445,-2566017.056565497,3061335.395141653
