G,element_length,p,f_int[0]
95192.49455684923,1,35.0,6.999999999999958e+02
95192.49455684923,2,35.0,4.747546895706412e+02
95192.49455684923,3,35.0,2.4240259795473665e+02
95192.49455684923,1,52.5,1.3999999999999966e+03
95192.49455684923,2,52.5,9.495093791412869e+02
95192.49455684923,3,52.5,4.8480519590947614e+02
95192.49455684923,1,70,2.0999999999999964e+03
95192.49455684923,2,70,1.4242640687119253e+03
95192.49455684923,3,70,7.272077938642135e+02
95192.49455684923,1,70,2.799999999999992e+03
95192.49455684923,2,70,1.8990187582825733e+03
95192.49455684923,3,70,9.696103918189493e+02
95192.49455684923,1,70,2.80000000000001e+03
95192.49455684923,2,70,1.8990187582825722e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.7999999999999914e+03
95192.49455684923,2,70,1.8990187582825731e+03
95192.49455684923,3,70,9.696103918189515e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
95192.49455684923,1,70,2.8000000000000036e+03
95192.49455684923,2,70,1.899018758282569e+03
95192.49455684923,3,70,9.696103918189534e+02
52232.40824531435,1,35.0,7.000000000000005e+02
52232.40824531435,2,35.0,4.74754689570641e+02
52232.40824531435,3,35.0,2.42402597954738e+02
52232.40824531435,1,52.5,1.3999999999999955e+03
52232.40824531435,2,52.5,9.495093791412893e+02
52232.40824531435,3,52.5,4.848051959094738e+02
52232.40824531435,1,70,2.0999999999999973e+03
52232.40824531435,2,70,1.4242640687119263e+03
52232.40824531435,3,70,7.272077938642145e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
52232.40824531435,1,70,2.800000000000001e+03
52232.40824531435,2,70,1.8990187582825697e+03
52232.40824531435,3,70,9.696103918189514e+02
134491.15767563123,1,35.0,6.999999999999985e+02
134491.15767563123,2,35.0,4.7475468957064305e+02
134491.15767563123,3,35.0,2.424025979547374e+02
134491.15767563123,1,52.5,1.4000000000000005e+03
134491.15767563123,2,52.5,9.495093791412856e+02
134491.15767563123,3,52.5,4.848051959094779e+02
134491.15767563123,1,70,2.0999999999999995e+03
134491.15767563123,2,70,1.4242640687119256e+03
134491.15767563123,3,70,7.27207793864212e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825731e+03
134491.15767563123,3,70,9.696103918189484e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825758e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
134491.15767563123,1,70,2.8000000000000005e+03
134491.15767563123,2,70,1.8990187582825704e+03
134491.15767563123,3,70,9.696103918189515e+02
35859.74364683529,1,35.0,7.000000000000017e+02
35859.74364683529,2,35.0,4.7475468957064516e+02
35859.74364683529,3,35.0,2.4240259795473904e+02
35859.74364683529,1,52.5,1.4000000000000002e+03
35859.74364683529,2,52.5,9.495093791412887e+02
35859.74364683529,3,52.5,4.8480519590947597e+02
35859.74364683529,1,70,2.100000000000003e+03
35859.74364683529,2,70,1.4242640687119306e+03
35859.74364683529,3,70,7.272077938642162e+02
35859.74364683529,1,70,2.8000000000000023e+03
35859.74364683529,2,70,1.899018758282575e+03
35859.74364683529,3,70,9.696103918189549e+02
35859.74364683529,1,70,2.8000000000000036e+03
35859.74364683529,2,70,1.8990187582825668e+03
35859.74364683529,3,70,9.696103918189522e+02
35859.74364683529,1,70,2.7999999999999973e+03
35859.74364683529,2,70,1.8990187582825752e+03
35859.74364683529,3,70,9.696103918189518e+02
35859.74364683529,1,70,2.8000000000000036e+03
35859.74364683529,2,70,1.8990187582825697e+03
35859.74364683529,3,70,9.696103918189522e+02
35859.74364683529,1,70,2.799999999999997e+03
35859.74364683529,2,70,1.899018758282575e+03
35859.74364683529,3,70,9.696103918189509e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282577e+03
35859.74364683529,3,70,9.696103918189465e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282577e+03
35859.74364683529,3,70,9.696103918189465e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282577e+03
35859.74364683529,3,70,9.696103918189465e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282577e+03
35859.74364683529,3,70,9.696103918189465e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282577e+03
35859.74364683529,3,70,9.696103918189465e+02
35859.74364683529,1,70,2.799999999999998e+03
35859.74364683529,2,70,1.899018758282569e+03
35859.74364683529,3,70,9.696103918189561e+02
103997.35208974368,1,35.0,6.999999999999935e+02
103997.35208974368,2,35.0,4.7475468957063396e+02
103997.35208974368,3,35.0,2.4240259795473506e+02
103997.35208974368,1,52.5,1.3999999999999873e+03
103997.35208974368,2,52.5,9.495093791412821e+02
103997.35208974368,3,52.5,4.848051959094746e+02
103997.35208974368,1,70,2.0999999999999877e+03
103997.35208974368,2,70,1.4242640687119197e+03
103997.35208974368,3,70,7.272077938642088e+02
103997.35208974368,1,70,2.799999999999992e+03
103997.35208974368,2,70,1.899018758282566e+03
103997.35208974368,3,70,9.69610391818953e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
103997.35208974368,1,70,2.799999999999999e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.69610391818958e+02
103997.35208974368,1,70,2.7999999999999995e+03
103997.35208974368,2,70,1.8990187582825727e+03
103997.35208974368,3,70,9.696103918189497e+02
77714.11563129231,1,35.0,7.000000000000016e+02
77714.11563129231,2,35.0,4.747546895706427e+02
77714.11563129231,3,35.0,2.42402597954738e+02
77714.11563129231,1,52.5,1.399999999999998e+03
77714.11563129231,2,52.5,9.495093791412861e+02
77714.11563129231,3,52.5,4.848051959094765e+02
77714.11563129231,1,70,2.0999999999999977e+03
77714.11563129231,2,70,1.4242640687119276e+03
77714.11563129231,3,70,7.27207793864214e+02
77714.11563129231,1,70,2.800000000000001e+03
77714.11563129231,2,70,1.8990187582825727e+03
77714.11563129231,3,70,9.69610391818953e+02
77714.11563129231,1,70,2.8000000000000045e+03
77714.11563129231,2,70,1.8990187582825715e+03
77714.11563129231,3,70,9.696103918189502e+02
77714.11563129231,1,70,2.7999999999999955e+03
77714.11563129231,2,70,1.899018758282575e+03
77714.11563129231,3,70,9.696103918189507e+02
77714.11563129231,1,70,2.8000000000000045e+03
77714.11563129231,2,70,1.8990187582825715e+03
77714.11563129231,3,70,9.696103918189502e+02
77714.11563129231,1,70,2.7999999999999955e+03
77714.11563129231,2,70,1.899018758282575e+03
77714.11563129231,3,70,9.696103918189507e+02
77714.11563129231,1,70,2.8000000000000045e+03
77714.11563129231,2,70,1.8990187582825715e+03
77714.11563129231,3,70,9.696103918189502e+02
77714.11563129231,1,70,2.7999999999999955e+03
77714.11563129231,2,70,1.899018758282575e+03
77714.11563129231,3,70,9.696103918189507e+02
77714.11563129231,1,70,2.8000000000000045e+03
77714.11563129231,2,70,1.8990187582825715e+03
77714.11563129231,3,70,9.696103918189502e+02
77714.11563129231,1,70,2.7999999999999955e+03
77714.11563129231,2,70,1.899018758282575e+03
77714.11563129231,3,70,9.696103918189507e+02
77714.11563129231,1,70,2.8000000000000045e+03
77714.11563129231,2,70,1.8990187582825715e+03
