G,element_length,p,f_int[0]
85743.23237062318,1,35.0,6.999999999999949e+02
85743.23237062318,2,35.0,4.747546895706417e+02
85743.23237062318,3,35.0,2.4240259795473708e+02
85743.23237062318,1,52.5,1.4000000000000034e+03
85743.23237062318,2,52.5,9.495093791412797e+02
85743.23237062318,3,52.5,4.84805195909475e+02
85743.23237062318,1,70,2.099999999999996e+03
85743.23237062318,2,70,1.424264068711935e+03
85743.23237062318,3,70,7.27207793864207e+02
85743.23237062318,1,70,2.800000000000003e+03
85743.23237062318,2,70,1.8990187582825622e+03
85743.23237062318,3,70,9.696103918189506e+02
85743.23237062318,1,70,2.8000000000000036e+03
85743.23237062318,2,70,1.8990187582825658e+03
85743.23237062318,3,70,9.696103918189584e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825756e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.7999999999999995e+03
85743.23237062318,2,70,1.8990187582825831e+03
85743.23237062318,3,70,9.69610391818957e+02
85743.23237062318,1,70,2.8000000000000036e+03
85743.23237062318,2,70,1.8990187582825574e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825658e+03
85743.23237062318,3,70,9.696103918189568e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825756e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.7999999999999995e+03
85743.23237062318,2,70,1.8990187582825831e+03
85743.23237062318,3,70,9.69610391818957e+02
85743.23237062318,1,70,2.8000000000000036e+03
85743.23237062318,2,70,1.8990187582825574e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825658e+03
85743.23237062318,3,70,9.696103918189568e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825756e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.7999999999999995e+03
85743.23237062318,2,70,1.8990187582825831e+03
85743.23237062318,3,70,9.69610391818957e+02
85743.23237062318,1,70,2.8000000000000036e+03
85743.23237062318,2,70,1.8990187582825574e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825658e+03
85743.23237062318,3,70,9.696103918189568e+02
85743.23237062318,1,70,2.800000000000002e+03
85743.23237062318,2,70,1.8990187582825756e+03
85743.23237062318,3,70,9.696103918189493e+02
85743.23237062318,1,70,2.7999999999999995e+03
85743.23237062318,2,70,1.8990187582825831e+03
85743.23237062318,3,70,9.69610391818957e+02
52232.32312154527,1,35.0,6.999999999999972e+02
52232.32312154527,2,35.0,4.7475468957064214e+02
52232.32312154527,3,35.0,2.4240259795473764e+02
52232.32312154527,1,52.5,1.3999999999999957e+03
52232.32312154527,2,52.5,9.495093791412882e+02
52232.32312154527,3,52.5,4.8480519590947705e+02
52232.32312154527,1,70,2.099999999999995e+03
52232.32312154527,2,70,1.4242640687119251e+03
52232.32312154527,3,70,7.272077938642155e+02
52232.32312154527,1,70,2.8000000000000027e+03
52232.32312154527,2,70,1.899018758282565e+03
52232.32312154527,3,70,9.6961039181895e+02
52232.32312154527,1,70,2.799999999999991e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189568e+02
52232.32312154527,1,70,2.8000000000000014e+03
52232.32312154527,2,70,1.8990187582825804e+03
52232.32312154527,3,70,9.696103918189503e+02
52232.32312154527,1,70,2.799999999999989e+03
52232.32312154527,2,70,1.899018758282569e+03
52232.32312154527,3,70,9.696103918189522e+02
52232.32312154527,1,70,2.799999999999998e+03
52232.32312154527,2,70,1.8990187582825763e+03
52232.32312154527,3,70,9.696103918189522e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
52232.32312154527,1,70,2.800000000000003e+03
52232.32312154527,2,70,1.8990187582825683e+03
52232.32312154527,3,70,9.696103918189513e+02
141385.24534266742,1,35.0,6.999999999999985e+02
141385.24534266742,2,35.0,4.747546895706435e+02
141385.24534266742,3,35.0,2.4240259795473796e+02
141385.24534266742,1,52.5,1.3999999999999995e+03
141385.24534266742,2,52.5,9.495093791412854e+02
141385.24534266742,3,52.5,4.848051959094764e+02
141385.24534266742,1,70,2.1000000000000014e+03
141385.24534266742,2,70,1.4242640687119313e+03
141385.24534266742,3,70,7.272077938642102e+02
141385.24534266742,1,70,2.799999999999999e+03
141385.24534266742,2,70,1.8990187582825713e+03
141385.24534266742,3,70,9.696103918189531e+02
141385.24534266742,1,70,2.799999999999997e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189507e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189507e+02
141385.24534266742,1,70,2.799999999999997e+03
141385.24534266742,2,70,1.899018758282569e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.899018758282574e+03
141385.24534266742,3,70,9.696103918189513e+02
141385.24534266742,1,70,2.799999999999997e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
141385.24534266742,1,70,2.8000000000000005e+03
141385.24534266742,2,70,1.8990187582825715e+03
141385.24534266742,3,70,9.696103918189538e+02
35859.74962110584,1,35.0,7.000000000000016e+02
35859.74962110584,2,35.0,4.747546895706417e+02
35859.74962110584,3,35.0,2.424025979547373e+02
35859.74962110584,1,52.5,1.4000000000000055e+03
35859.74962110584,2,52.5,9.49509379141284e+02
35859.74962110584,3,52.5,4.848051959094763e+02
35859.74962110584,1,70,2.1000000000000023e+03
35859.74962110584,2,70,1.424264068711929e+03
35859.74962110584,3,70,7.272077938642121e+02
35859.74962110584,1,70,2.8000000000000027e+03
35859.74962110584,2,70,1.8990187582825658e+03
35859.74962110584,3,70,9.696103918189561e+02
35859.74962110584,1,70,2.8000000000000005e+03
35859.74962110584,2,70,1.8990187582825715e+03
35859.74962110584,3,70,9.696103918189522e+02
35859.74962110584,1,70,2.800000000000005e+03
35859.74962110584,2,70,1.8990187582825708e+03
35859.74962110584,3,70,9.69610391818956e+02
35859.74962110584,1,70,2.8000000000000005e+03
35859.74962110584,2,70,1.8990187582825708e+03
35859.74962110584,3,70,9.696103918189518e+02
35859.74962110584,1,70,2.799999999999994e+03
35859.74962110584,2,70,1.8990187582825715e+03
35859.74962110584,3,70,9.696103918189522e+02
35859.74962110584,1,70,2.800000000000009e+03
35859.74962110584,2,70,1.8990187582825708e+03
35859.74962110584,3,70,9.696103918189518e+02
35859.74962110584,1,70,2.8000000000000005e+03
35859.74962110584,2,70,1.8990187582825708e+03
