eps11,eps22,epspk11,epspk22,Alpha_k11,Alpha_k22,alpha_k,epspk_out11,epspk_out22,Alpha_k_out11,Alpha_k_out22,alpha_k_out,sigma_out11,sigma_out22,C_out11,C_out12,C_out22,C_out23,C_out44
0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.57275541795667,76.62538699690404,311145.5108359133,153250.77399380808,311145.5108359133,153250.77399380808,78947.36842105263
0.0005,-0.00016499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,7.105427357601002e-15,311145.5108359133,153250.77399380808,311145.5108359133,153250.77399380808,78947.36842105263
0.001,-0.000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.57275541795667,76.62538699690404,311145.5108359133,153250.77399380808,311145.5108359133,153250.77399380808,78947.36842105263
0.001,-0.00033,0.0,0.0,0.0,0.0,0.0,3.939456769645461e-05,-1.9697283848227307e-05,3.939456769645457e-05,-1.9697283848227286e-05,3.939456769645457e-05,203.7798051005598,3.110097449720101,212931.90716054203,202357.5758314937,283084.48121437867,132205.00177765707,75439.73971836078
0.001,-0.000337488986784141,3.939456769645461e-05,-1.9697283848227307e-05,3.939456769645457e-05,-1.9697283848227286e-05,3.939456769645457e-05,4.405286343612357e-05,-2.2026431718061784e-05,4.4052863436123446e-05,-2.202643171806172e-05,4.405286343612344e-05,200.7488986784141,2.842170943040401e-14,212931.90716054197,202357.5758314937,286159.3336475181,129130.1493445176,78514.59215150026
0.0015,-0.00033748898678414104,4.405286343612357e-05,-2.2026431718061784e-05,4.4052863436123446e-05,-2.202643171806172e-05,4.405286343612344e-05,0.00035506260840813253,-0.00017753130420406627,0.00035506260840813237,-0.00017753130420406618,0.0003550626084081324,307.214852258685,101.17878791574681,212931.90716054203,202357.5758314937,265751.4652544272,149538.01773760852,58106.723758409345
0.0015,-0.0005811233480176212,0.00035506260840813253,-0.00017753130420406627,0.00035506260840813237,-0.00017753130420406618,0.0003550626084081324,0.0005066079295154186,-0.0002533039647577093,0.0005066079295154184,-0.0002533039647577092,0.0005066079295154185,208.61233480176213,0.0,212931.90716054203,202357.5758314937,274744.8862805655,140544.5967114702,67100.14478454768
0.002,-0.0005811233480176211,0.0005066079295154186,-0.0002533039647577093,0.0005066079295154184,-0.0002533039647577092,0.0005066079295154185,0.0008176176744874274,-0.0004088088372437137,0.0008176176744874271,-0.0004088088372437136,0.0008176176744874274,315.0782883820332,101.17878791574688,212931.90716054203,202357.5758314937,265820.3317042802,149469.15128775555,58175.590208262314
0.002,-0.0008247577092511014,0.0008176176744874274,-0.0004088088372437137,0.0008176176744874271,-0.0004088088372437136,0.0008176176744874274,0.0009691629955947137,-0.00048458149779735687,0.0009691629955947134,-0.00048458149779735676,0.0009691629955947136,216.47577092511014,1.4210854715202004e-14,212931.90716054203,202357.5758314937,274790.53314567305,140498.94984636267,67145.79164965519
0.0025,-0.0008247577092511014,0.0009691629955947137,-0.00048458149779735687,0.0009691629955947134,-0.00048458149779735676,0.0009691629955947136,0.001280172740566723,-0.0006400863702833615,0.0012801727405667227,-0.0006400863702833614,0.001280172740566723,322.9417245053811,101.17878791574688,212931.90716054203,202357.5758314937,265888.74452440545,149400.73846763023,58244.00302838761
0.0025,-0.0010683920704845818,0.001280172740566723,-0.0006400863702833615,0.0012801727405667227,-0.0006400863702833614,0.001280172740566723,0.0014317180616740086,-0.0007158590308370044,0.0014317180616740086,-0.0007158590308370043,0.0014317180616740088,224.3392070484581,-7.105427357601002e-14,212931.90716054203,202357.5758314937,274835.8296098755,140453.65338216018,67191.08811385767
0.003,-0.0010683920704845815,0.0014317180616740086,-0.0007158590308370044,0.0014317180616740086,-0.0007158590308370043,0.0014317180616740088,0.0017427278066460181,-0.0008713639033230092,0.0017427278066460181,-0.0008713639033230091,0.0017427278066460183,330.80516062872914,101.17878791574688,212931.90716054203,202357.5758314937,265956.7081822415,149332.77480979427,58311.966686223575
0.003,-0.001312026431718062,0.0017427278066460181,-0.0008713639033230092,0.0017427278066460181,-0.0008713639033230091,0.0017427278066460183,0.001894273127753304,-0.0009471365638766521,0.001894273127753304,-0.000947136563876652,0.0018942731277533042,232.20264317180616,-2.842170943040401e-14,212931.907160542,202357.5758314937,274880.77969244146,140408.7032995943,67236.0381964236
0.0035,-0.0013120264317180617,0.001894273127753304,-0.0009471365638766521,0.001894273127753304,-0.000947136563876652,0.0018942731277533042,0.0022052828727253133,-0.0011026414363626566,0.0022052828727253133,-0.0011026414363626564,0.0022052828727253133,338.6685967520771,101.17878791574685,212931.90716054203,202357.5758314937,266024.22708675667,149265.2559052791,58379.48559073876
0.0035,-0.0015556607929515418,0.0022052828727253133,-0.0011026414363626566,0.0022052828727253133,-0.0011026414363626564,0.0022052828727253133,0.002356828193832599,-0.0011784140969162994,0.002356828193832599,-0.0011784140969162992,0.002356828193832599,240.06607929515428,5.684341886080802e-14,212931.90716054203,202357.5758314937,274925.38735140313,140364.09564063264,67280.64585538523
0.004,-0.0015556607929515418,0.002356828193832599,-0.0011784140969162994,0.002356828193832599,-0.0011784140969162992,0.002356828193832599,0.0026678379388046084,-0.0013339189694023042,0.0026678379388046084,-0.001333918969402304,0.0026678379388046084,346.5320328754252,101.1787879157469,212931.90716054203,202357.5758314937,266091.30558940326,149198.17740263251,58446.56409338536
